method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
visuotactile_margin_height_rl,ood,intervention_force_budget_exceeded,0.13333333333333333,0.03333333333333333,0.23333333333333334,3,10,0.23094010767585035,"[0.0, 4.0, 0.0]","[0.0, 0.4, 0.0]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,ood,full_episode_peak_normal_N,5.551834686597188,4.546162647406261,6.548652597864469,3,10,2.46366920857447,,"[6.195100116729736, 7.6300609588623045, 2.830342984199524]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_height_rl,ood,native_shaped_return,38.5075066036139,36.715470208277274,41.32731782454759,3,10,11.05647284936446,,"[46.82550732907099, 42.73621986363174, 25.960792618138992]","[""visuotactile_margin_height_seed0_rl"", ""visuotactile_margin_height_seed1_rl"", ""visuotactile_margin_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,all,sustained_10cm_lift_within_force_budget,0.1,0.05,0.15,3,20,0.17320508075688773,"[0.0, 6.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,all,sustained_10cm_lift_success,0.11666666666666667,0.06666666666666667,0.16666666666666666,3,20,0.20207259421636903,"[0.0, 7.0, 0.0]","[0.0, 0.35, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,all,force_budget_exceeded,0.09999999999999999,0.03333333333333333,0.16666666666666669,3,20,0.17320508075688773,"[0.0, 6.0, 0.0]","[0.0, 0.3, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,all,intervention_force_budget_exceeded,0.08333333333333333,0.03333333333333333,0.15,3,20,0.14433756729740646,"[0.0, 5.0, 0.0]","[0.0, 0.25, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,all,full_episode_peak_normal_N,3.6501279880603157,2.973041630610824,4.257187119399507,3,20,2.587235892403378,,"[2.760492515563965, 6.564804244041443, 1.6250872045755387]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,all,native_shaped_return,54.379139182236216,50.89741728370088,57.47779242681103,3,20,10.549732584000818,,"[48.92289602446346, 66.5395942765562, 47.67492724568899]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,id,sustained_10cm_lift_within_force_budget,0.2,0.1,0.3,3,10,0.34641016151377546,"[0.0, 6.0, 0.0]","[0.0, 0.6, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,id,sustained_10cm_lift_success,0.23333333333333334,0.13333333333333333,0.33333333333333337,3,10,0.40414518843273806,"[0.0, 7.0, 0.0]","[0.0, 0.7, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,id,force_budget_exceeded,0.06666666666666667,0.0,0.16666666666666666,3,10,0.11547005383792518,"[0.0, 2.0, 0.0]","[0.0, 0.2, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,id,intervention_force_budget_exceeded,0.03333333333333333,0.0,0.1,3,10,0.05773502691896259,"[0.0, 1.0, 0.0]","[0.0, 0.1, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,id,full_episode_peak_normal_N,2.685403762261073,1.9115989704926812,3.3674494480590016,3,10,3.1579075742262193,,"[1.8281399726867675, 6.183433699607849, 0.044637614488601686]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,id,native_shaped_return,62.677419746727175,55.668839765348196,68.51989941223708,3,10,21.5445471449042,,"[50.7896661354499, 87.54690082903748, 49.69569227569415]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_margin_native_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""visuotactile_margin_native_seed0_rl"", ""visuotactile_margin_native_seed1_rl"", ""visuotactile_margin_native_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
