method,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
visuotactile_persistence,test_combined_ood,height_mae_m_h4,0.004932115840816146,0.0035979952179676965,0.006234192058540497,30,3,0.00042117637701468764,2000,"[0.004648844710868111, 0.005416107420427983, 0.004731395391152344]"
visuotactile_persistence,test_combined_ood,height_mae_m_h5,0.005578857328747054,0.004028759184446783,0.007109098246660895,30,3,0.0003552658441293414,2000,"[0.005365580055869133, 0.005988973186176736, 0.005382018744195294]"
visuotactile_persistence,test_combined_ood,interval_peak_mae_N,0.7037529077309149,0.38881589692323293,1.1002355174271041,30,3,0.07916781534381515,2000,"[0.6930522432459725, 0.7877268040047751, 0.630479675941997]"
visuotactile_persistence,test_combined_ood,interval_peak_mae_N_h1,0.6457966999654418,0.3550502485334873,1.0199054743482,30,3,0.07929652277900355,2000,"[0.6360275647375319, 0.729525173637602, 0.571837361521191]"
visuotactile_persistence,test_combined_ood,interval_peak_mae_N_h2,0.6667307285026268,0.3662523758267915,1.0505882188755054,30,3,0.07955966295834212,2000,"[0.6566034219000074, 0.7508691452609169, 0.5927196183469561]"
visuotactile_persistence,test_combined_ood,interval_peak_mae_N_h3,0.6990443859276949,0.3857730930017101,1.0881953831237772,30,3,0.08002920440320765,2000,"[0.6882263395521376, 0.7839323431915707, 0.6249744750393762]"
visuotactile_persistence,test_combined_ood,interval_peak_mae_N_h4,0.7350962654528793,0.4042514874697835,1.1508816914000992,30,3,0.07922346172804313,2000,"[0.724069186647733, 0.8192555901077059, 0.6619640196031994]"
visuotactile_persistence,test_combined_ood,interval_peak_mae_N_h5,0.7720964588059319,0.4318744778379246,1.1925585590479546,30,3,0.07774459550406217,2000,"[0.7603347033924527, 0.8550517678260803, 0.7009029051992628]"
visuotactile_persistence,test_geometry_ood,contact_forecast_fraction,0.4928888888888889,0.3915388888888888,0.5822277777777777,30,3,0.0,2000,"[0.4928888888888889, 0.4928888888888889, 0.4928888888888889]"
visuotactile_persistence,test_geometry_ood,contact_phase_endpoint_force_mae_N,0.5950592953719551,0.41355355148657663,0.7786483749528775,30,3,0.0,2000,"[0.5950592953719551, 0.5950592953719551, 0.5950592953719551]"
visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N,0.2932981149188881,0.18770841220620874,0.41011564741062523,30,3,0.0,2000,"[0.2932981149188881, 0.2932981149188881, 0.2932981149188881]"
visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h1,0.2332924171112892,0.13581257893338786,0.3430364641711769,30,3,3.3993498887762956e-17,2000,"[0.23329241711128917, 0.23329241711128917, 0.23329241711128917]"
visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h2,0.27507391439099727,0.16449160506641622,0.4050745693657847,30,3,0.0,2000,"[0.27507391439099727, 0.27507391439099727, 0.27507391439099727]"
visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h3,0.2950442501844804,0.1891448195705867,0.4132465125934773,30,3,0.0,2000,"[0.2950442501844804, 0.2950442501844804, 0.2950442501844804]"
visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h4,0.3038196232218157,0.20360852553668168,0.4066363002138796,30,3,0.0,2000,"[0.3038196232218157, 0.3038196232218157, 0.3038196232218157]"
visuotactile_persistence,test_geometry_ood,endpoint_force_mae_N_h5,0.359260369685858,0.23410806114538746,0.49644986829221127,30,3,6.798699777552591e-17,2000,"[0.35926036968585795, 0.35926036968585795, 0.35926036968585795]"
visuotactile_persistence,test_geometry_ood,height_mae_m,0.006794562822707964,0.00537763634383505,0.008193401323349045,30,3,0.0004838046354231622,2000,"[0.007040646675424392, 0.007105858297837484, 0.006237183494862014]"
visuotactile_persistence,test_geometry_ood,height_mae_m_h1,0.0052150277034120835,0.004023123951185241,0.006406197061858149,30,3,0.00050216147905195,2000,"[0.0053349960511938355, 0.005646339619157111, 0.004663747439885305]"
visuotactile_persistence,test_geometry_ood,height_mae_m_h2,0.005839918512469416,0.004565040199084184,0.007099032074354234,30,3,0.00047568225426828655,2000,"[0.005998815645968231, 0.006215813094070957, 0.005305126797369061]"
visuotactile_persistence,test_geometry_ood,height_mae_m_h3,0.006679699909851748,0.005276091808541054,0.008060783714557249,30,3,0.00047358323090996966,2000,"[0.006943573967889986, 0.0069625627575442195, 0.006132963004121039]"
