method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_geometry_ood,1,interval_peak_mae_N_h2,2.6443162992265488,1.809696310331424,3.5806743203765796,30,1,,2000,[2.6443162992265488]
vision_world_model,test_geometry_ood,2,interval_peak_mae_N_h2,2.4671790879302553,1.6772411269545555,3.3497327151629657,30,1,,2000,[2.4671790879302553]
vision_world_model,test_geometry_ood,0,interval_peak_mae_N_h3,2.3363827917310926,1.5788255898488894,3.1700446499519876,30,1,,2000,[2.3363827917310926]
vision_world_model,test_geometry_ood,1,interval_peak_mae_N_h3,2.7062928114997016,1.847625601073106,3.6377301603820587,30,1,,2000,[2.7062928114997016]
vision_world_model,test_geometry_ood,2,interval_peak_mae_N_h3,2.5282315417130787,1.7100574090249008,3.4455283406078805,30,1,,2000,[2.5282315417130787]
vision_world_model,test_geometry_ood,0,interval_peak_mae_N_h4,2.369380745357937,1.5996783643994066,3.212378636042276,30,1,,2000,[2.369380745357937]
vision_world_model,test_geometry_ood,1,interval_peak_mae_N_h4,2.6821314866012997,1.8299057713382774,3.5782940615349337,30,1,,2000,[2.6821314866012997]
vision_world_model,test_geometry_ood,2,interval_peak_mae_N_h4,2.5297650165028043,1.7240029780069988,3.4324915011260244,30,1,,2000,[2.5297650165028043]
vision_world_model,test_geometry_ood,0,interval_peak_mae_N_h5,2.4271000756820045,1.6379952852825324,3.2907154734101556,30,1,,2000,[2.4271000756820045]
vision_world_model,test_geometry_ood,1,interval_peak_mae_N_h5,2.6889638253715304,1.853505686102642,3.585650040631492,30,1,,2000,[2.6889638253715304]
vision_world_model,test_geometry_ood,2,interval_peak_mae_N_h5,2.543123964269956,1.7476575379603438,3.4226868070297765,30,1,,2000,[2.543123964269956]
vision_world_model,test_geometry_ood,0,joint_episode_coverage,0.8666666666666667,0.7333333333333333,0.9666666666666667,30,1,,2000,[0.8666666666666667]
vision_world_model,test_geometry_ood,1,joint_episode_coverage,0.9666666666666667,0.9,1.0,30,1,,2000,[0.9666666666666667]
vision_world_model,test_geometry_ood,2,joint_episode_coverage,0.6666666666666666,0.5,0.8333333333333334,30,1,,2000,[0.6666666666666666]
vision_world_model,test_geometry_ood,0,peak_episode_coverage,0.9666666666666667,0.9,1.0,30,1,,2000,[0.9666666666666667]
vision_world_model,test_geometry_ood,1,peak_episode_coverage,0.9666666666666667,0.9,1.0,30,1,,2000,[0.9666666666666667]
vision_world_model,test_geometry_ood,2,peak_episode_coverage,0.9333333333333333,0.8333333333333334,1.0,30,1,,2000,[0.9333333333333333]
vision_world_model,test_id,0,contact_forecast_fraction,0.4688888888888889,0.3591111111111111,0.5722277777777777,30,1,,2000,[0.4688888888888889]
vision_world_model,test_id,1,contact_forecast_fraction,0.4688888888888889,0.3591111111111111,0.5722277777777777,30,1,,2000,[0.4688888888888889]
vision_world_model,test_id,2,contact_forecast_fraction,0.4688888888888889,0.3591111111111111,0.5722277777777777,30,1,,2000,[0.4688888888888889]
vision_world_model,test_id,0,contact_phase_endpoint_force_mae_N,1.9457227591964774,1.5335272734651475,2.3789615693229162,30,1,,2000,[1.9457227591964774]
vision_world_model,test_id,1,contact_phase_endpoint_force_mae_N,1.9687900636669566,1.597341312785154,2.4063252193935143,30,1,,2000,[1.9687900636669566]
vision_world_model,test_id,2,contact_phase_endpoint_force_mae_N,1.8971576625786908,1.5360887707620061,2.3073343376560143,30,1,,2000,[1.8971576625786908]
vision_world_model,test_id,0,endpoint_force_mae_N,0.9346260682562952,0.6563601826534573,1.2240433848061858,30,1,,2000,[0.9346260682562952]
vision_world_model,test_id,1,endpoint_force_mae_N,0.9619865766388743,0.6994873048512411,1.2576476965434729,30,1,,2000,[0.9619865766388743]
vision_world_model,test_id,2,endpoint_force_mae_N,0.9212703747411121,0.6600087096768824,1.2001092012015366,30,1,,2000,[0.9212703747411121]
vision_world_model,test_id,0,endpoint_force_mae_N_h1,0.9141245016864398,0.6389608129616482,1.202610555776356,30,1,,2000,[0.9141245016864398]
vision_world_model,test_id,1,endpoint_force_mae_N_h1,0.9512209308352666,0.6883504218996149,1.2554014371714544,30,1,,2000,[0.9512209308352666]
vision_world_model,test_id,2,endpoint_force_mae_N_h1,0.8953345961427247,0.6491385940510771,1.1712077357721196,30,1,,2000,[0.8953345961427247]
vision_world_model,test_id,0,endpoint_force_mae_N_h2,0.9105755530921225,0.636227158713659,1.2020354940952014,30,1,,2000,[0.9105755530921225]
